fid,행정동명,행정동코드,NUMPOINTS
"277",금천구 독산4동,1118055,5
"278",금천구 시흥1동,1118057,6
"279",금천구 시흥2동,1118058,0
"280",금천구 시흥3동,1118059,7
"281",금천구 시흥4동,1118060,8
"282",금천구 시흥5동,1118061,3
"283",영등포구 여의동,1119054,3
"284",영등포구 당산1동,1119055,1
"285",영등포구 당산2동,1119056,9
"286",영등포구 양평1동,1119061,1
"287",영등포구 양평2동,1119062,1
"288",영등포구 신길1동,1119063,2
"289",영등포구 신길3동,1119065,2
"290",영등포구 신길4동,1119066,0
"291",영등포구 신길5동,1119067,3
"292",영등포구 신길6동,1119068,3
"293",영등포구 신길7동,1119069,3
"294",영등포구 대림1동,1119070,3
"295",영등포구 대림2동,1119071,1
"296",영등포구 대림3동,1119072,5
"297",영등포구 영등포본동,1119073,2
"298",영등포구 영등포동,1119074,4
"299",영등포구 도림동,1119075,2
"300",영등포구 문래동,1119076,5
"301",동작구 노량진2동,1120052,1
"302",동작구 상도1동,1120053,4
"303",동작구 상도2동,1120054,7
"304",동작구 상도3동,1120055,5
"305",동작구 상도4동,1120056,1
"306",동작구 사당1동,1120063,2
"307",동작구 사당3동,1120065,4
"308",동작구 사당4동,1120066,5
"309",동작구 사당5동,1120067,5
"310",동작구 대방동,1120068,2
"311",동작구 신대방1동,1120069,4
"312",동작구 신대방2동,1120070,0
"313",동작구 흑석동,1120071,6
"314",동작구 노량진1동,1120072,4
"315",동작구 사당2동,1120073,2
"316",관악구 보라매동,1121052,4
"317",관악구 청림동,1121054,0
"318",관악구 행운동,1121057,4
"319",관악구 낙성대동,1121058,3
"320",관악구 중앙동,1121061,0
"321",관악구 인헌동,1121062,4
"322",관악구 남현동,1121063,6
"323",관악구 서원동,1121064,3
"324",관악구 신원동,1121065,1
"325",관악구 서림동,1121066,4
"326",관악구 신사동,1121068,1
"327",관악구 신림동,1121069,2
"328",관악구 난향동,1121071,1
"329",관악구 조원동,1121072,1
"330",관악구 대학동,1121073,6
"331",관악구 은천동,1121078,3
"332",관악구 성현동,1121079,0
"333",관악구 청룡동,1121080,6
"334",관악구 난곡동,1121081,4
"335",관악구 삼성동,1121082,3
"336",관악구 미성동,1121083,6
"337",서초구 서초1동,1122051,3
"338",서초구 서초2동,1122052,6
"339",서초구 서초3동,1122053,9
"340",서초구 서초4동,1122054,3
"341",서초구 잠원동,1122055,7
"342",서초구 반포본동,1122056,1
"343",서초구 반포1동,1122057,4
"344",서초구 반포2동,1122058,3
"345",서초구 반포3동,1122059,9
"346",서초구 반포4동,1122060,4
"347",서초구 방배본동,1122061,1
"348",서초구 방배1동,1122062,4
"349",서초구 방배2동,1122063,7
"350",서초구 방배3동,1122064,9
"351",서초구 방배4동,1122065,2
"352",서초구 양재1동,1122066,25
"353",서초구 양재2동,1122067,19
"354",서초구 내곡동,1122068,19
"355",강남구 신사동,1123051,3
"356",강남구 논현1동,1123052,6
"357",강남구 논현2동,1123053,3
"358",강남구 삼성1동,1123058,3
"359",강남구 삼성2동,1123059,5
"360",강남구 대치1동,1123060,6
"361",강남구 대치4동,1123063,2
"362",강남구 역삼1동,1123064,7
"363",강남구 역삼2동,1123065,11
"364",강남구 도곡1동,1123066,2
"365",강남구 도곡2동,1123067,7
"366",강남구 개포1동,1123068,1
"367",강남구 개포4동,1123071,4
"368",강남구 일원본동,1123072,12
"369",강남구 일원1동,1123073,3
"370",강남구 일원2동,1123074,5
"371",강남구 수서동,1123075,7
"372",강남구 세곡동,1123076,23
"373",강남구 압구정동,1123077,7
"374",강남구 청담동,1123078,4
"375",강남구 대치2동,1123079,1
"376",강남구 개포2동,1123080,9
"377",송파구 풍납1동,1124051,2
"378",송파구 풍납2동,1124052,3
"379",송파구 거여1동,1124053,6
"380",송파구 거여2동,1124054,5
"381",송파구 마천1동,1124055,11
"382",송파구 마천2동,1124056,6
"383",송파구 방이1동,1124057,4
"384",송파구 방이2동,1124058,6
"385",송파구 오륜동,1124059,1
"386",송파구 오금동,1124060,14
"387",송파구 송파1동,1124061,5
"388",송파구 송파2동,1124062,4
"389",송파구 석촌동,1124063,5
"390",송파구 삼전동,1124064,7
"391",송파구 가락본동,1124065,9
"392",송파구 가락1동,1124066,2
"393",송파구 가락2동,1124067,8
"394",송파구 문정1동,1124068,3
"395",송파구 문정2동,1124069,8
"396",송파구 잠실본동,1124071,5
"397",송파구 잠실4동,1124075,3
"398",송파구 잠실6동,1124077,4
"399",송파구 잠실7동,1124078,1
"400",송파구 잠실2동,1124079,1
"401",송파구 잠실3동,1124080,4
"402",송파구 장지동,1124081,11
"403",송파구 위례동,1124082,2
"404",강동구 강일동,1125051,8
"405",강동구 상일동,1125052,8
"406",강동구 명일1동,1125053,8
"407",강동구 명일2동,1125054,2
"408",강동구 고덕1동,1125055,6
"409",강동구 고덕2동,1125056,6
