시군구,행정동,소계,1인가구 (가구),2인가구 (가구),3인가구 (가구),4인가구 (가구),5인가구 (가구),6인가구 (가구),7인이상가구 (가구),평균 가구원수 (명)
광진구,자양4동,8325,3751,2129,1343,840,203,46,13,-
동대문구,소계,150373,60925,36819,27120,19528,4653,1062,266,2.2
동대문구,회기동,6328,4044,1103,583,451,119,21,7,-
동대문구,휘경1동,6643,3336,1391,987,720,164,39,6,-
동대문구,휘경2동,10915,4785,2335,1855,1497,336,81,26,-
동대문구,청량리동,8652,3236,2517,1541,1018,281,48,11,-
동대문구,용신동,15702,8464,3551,2035,1273,279,71,29,-
동대문구,제기동,11662,5399,2959,1798,1120,303,65,18,-
동대문구,전농1동,13584,5814,3212,2419,1667,370,79,23,-
동대문구,전농2동,7163,1691,2044,1701,1302,328,79,18,-
동대문구,답십리1동,11567,3717,2869,2577,1828,470,82,24,-
동대문구,답십리2동,11756,3448,3396,2573,1818,409,97,15,-
동대문구,장안1동,15931,5502,4191,3234,2276,566,133,29,-
동대문구,장안2동,12363,3212,3275,2947,2306,464,134,25,-
동대문구,이문1동,9934,5774,1856,1130,886,217,59,12,-
동대문구,이문2동,8173,2503,2120,1740,1366,347,74,23,-
중랑구,소계,164832,56605,45576,32612,23295,5344,1107,293,2.3
중랑구,면목2동,10689,3974,2905,2009,1377,337,69,18,-
중랑구,면목4동,7843,2678,2240,1554,1049,259,45,18,-
중랑구,면목5동,5707,1540,1665,1341,943,181,29,8,-
중랑구,면목7동,9479,3294,2768,1856,1217,259,67,18,-
중랑구,상봉1동,9424,2377,2578,2206,1851,331,68,13,-
중랑구,상봉2동,10267,5309,2646,1344,758,163,38,9,-
중랑구,중화1동,8117,2353,2407,1758,1266,254,60,19,-
중랑구,중화2동,12182,5455,3256,1987,1131,282,52,19,-
중랑구,묵1동,13560,3741,3588,3091,2406,593,107,34,-
중랑구,묵2동,8356,3049,2268,1646,1055,261,64,13,-
중랑구,망우3동,7359,2695,2045,1426,927,215,43,8,-
중랑구,신내1동,13646,2426,3753,3226,3128,896,172,45,-
중랑구,신내2동,8454,2273,2548,1946,1376,256,48,7,-
중랑구,면목본동,15626,6360,4292,2734,1760,374,86,20,-
