house_cnt	adm_cd	adm_nm	area	area_nm
506	11060890	이문1동	01	면적_20이하
168	11060900	이문2동	01	면적_20이하
778	11060910	답십리1동	01	면적_20이하
91	11070520	면목2동	01	면적_20이하
75	11070540	면목4동	01	면적_20이하
34	11070550	면목5동	01	면적_20이하
140	11070570	면목7동	01	면적_20이하
65	11070590	상봉1동	01	면적_20이하
1385	11070600	상봉2동	01	면적_20이하
44	11070610	중화1동	01	면적_20이하
275	11070620	중화2동	01	면적_20이하
507	11070640	묵1동	01	면적_20이하
160	11070650	묵2동	01	면적_20이하
52	11070680	망우3동	01	면적_20이하
104	11070690	신내1동	01	면적_20이하
506	11070710	면목본동	01	면적_20이하
137	11070720	면목3·8동	01	면적_20이하
374	11070730	망우본동	01	면적_20이하
26	11080580	돈암1동	01	면적_20이하
515	11080600	안암동	01	면적_20이하
217	11080610	보문동	01	면적_20이하
62	11080620	정릉1동	01	면적_20이하
120	11080630	정릉2동	01	면적_20이하
304	11080640	정릉3동	01	면적_20이하
95	11080650	정릉4동	01	면적_20이하
0	11080660	길음1동	01	면적_20이하
256	11080680	길음2동	01	면적_20이하
34	11080710	월곡1동	01	면적_20이하
139	11080720	월곡2동	01	면적_20이하
274	11080760	장위1동	01	면적_20이하
66	11080770	장위2동	01	면적_20이하
256	11080780	장위3동	01	면적_20이하
139	11080810	성북동	01	면적_20이하
307	11080820	삼선동	01	면적_20이하
739	11080830	동선동	01	면적_20이하
202	11080840	종암동	01	면적_20이하
227	11080850	석관동	01	면적_20이하
254	11090600	번1동	01	면적_20이하
8	11090610	번2동	01	면적_20이하
428	11090630	수유1동	01	면적_20이하
168	11090640	수유2동	01	면적_20이하
213	11090650	수유3동	01	면적_20이하
45	11090690	삼양동	01	면적_20이하
626	11090700	미아동	01	면적_20이하
112	11090710	송중동	01	면적_20이하
65	11090720	송천동	01	면적_20이하
33	11090740	우이동	01	면적_20이하
124	11090750	인수동	01	면적_20이하
102	11100510	쌍문1동	01	면적_20이하
47	11100520	쌍문2동	01	면적_20이하
55	11100530	쌍문3동	01	면적_20이하
5	11100540	쌍문4동	01	면적_20이하
375	11100550	방학1동	01	면적_20이하
54	11100560	방학2동	01	면적_20이하
0	11100570	방학3동	01	면적_20이하
318	11100590	창1동	01	면적_20이하
14	11100600	창2동	01	면적_20이하
40	11100610	창3동	01	면적_20이하
165	11100620	창4동	01	면적_20이하
11	11100630	창5동	01	면적_20이하
98	11100640	도봉1동	01	면적_20이하
12	11100650	도봉2동	01	면적_20이하
394	11110510	월계1동	01	면적_20이하
61	11110520	월계2동	01	면적_20이하
291	11110560	공릉2동	01	면적_20이하
114	11110580	하계1동	01	면적_20이하
31	11110600	중계본동	01	면적_20이하
0	11110610	중계1동	01	면적_20이하
0	11110640	중계4동	01	면적_20이하
189	11110650	상계1동	01	면적_20이하
329	11110660	상계2동	01	면적_20이하
31	11110690	상계5동	01	면적_20이하
76	11110760	상계3·4동	01	면적_20이하
1415	11110790	공릉1동	01	면적_20이하
183	11120510	녹번동	01	면적_20이하
348	11120520	불광1동	01	면적_20이하
228	11120550	갈현1동	01	면적_20이하
139	11120560	갈현2동	01	면적_20이하
144	11120570	구산동	01	면적_20이하
1090	11120580	대조동	01	면적_20이하
311	11120590	응암1동	01	면적_20이하
11	11120600	응암2동	01	면적_20이하
80	11120650	신사1동	01	면적_20이하
30	11120660	신사2동	01	면적_20이하
128	11120670	증산동	01	면적_20이하
33	11120680	수색동	01	면적_20이하
119	11120710	진관동	01	면적_20이하
184	11120720	불광2동	01	면적_20이하
150	11120730	응암3동	01	면적_20이하
133	11120740	역촌동	01	면적_20이하
76	11130520	천연동	01	면적_20이하
16	11130620	홍제1동	01	면적_20이하
87	11130640	홍제3동	01	면적_20이하
29	11130650	홍제2동	01	면적_20이하
90	11130660	홍은1동	01	면적_20이하
246	11130680	홍은2동	01	면적_20이하
185	11130690	남가좌1동	01	면적_20이하
334	11130700	남가좌2동	01	면적_20이하
6	11130710	북가좌1동	01	면적_20이하
